,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
110,"Boulder, CO",0,0,48255,2566,9477,7476,209850,4160,6220,25800,69525,181737,116913,48376,"4,854,808","2,360,061","2,494,747","960,447","3,894,361","3,681,236","763,495","3,625,585","394,461","8,880","396,040","1,972,346","3,503,016","1,670,960","1,832,056"
111,"Bowling Green, KY",0,0,24699,1839,7916,2028,108494,7431,8490,34598,16694,83249,25405,33018,"324,682","163,343","161,339","61,788","262,894","240,009","46,593","283,102","2,929","1,656","15,832","135,409","246,488","123,307","123,181"
112,"Bozeman, MT",0,1,16930,677,4118,2155,66579,772,1416,12497,21081,61744,31481,38476,"176,852","87,163","89,689","39,946","136,906","124,834","25,248","149,873","11,879",442,"5,658","76,214","130,132","63,058","67,074"
113,"Bradford, PA",0,0,3844,353,1644,308,29589,495,2141,14154,3380,25431,5223,32587,"111,401","57,796","53,605","22,091","89,310","82,153","13,940","103,811",459,"1,031","1,416","51,011","87,643","45,728","41,915"
114,"Brainerd, MN",0,0,6219,921,2143,364,66498,1053,3541,20780,10502,58864,15353,34884,"41,021","21,218","19,803","8,134","32,887","31,372","7,980","38,647",983,56,172,"21,260","32,575","16,710","15,865"
115,"Branson, MO",0,0,7406,1149,2531,358,61873,1615,5905,20833,7808,52025,10994,26748,"94,237","47,322","46,915","20,148","74,089","71,548","22,189","85,896",669,"3,377",436,"68,424","73,777","36,700","37,077"
116,"Breckenridge, CO",0,0,2527,404,1140,116,22871,706,833,4339,8624,20271,11232,37714,"55,563","26,447","29,116","11,717","43,846","41,746","12,073","50,874","1,049",553,395,"30,999","43,183","20,340","22,843"
117,"Bremerton-Silverdale, WA",0,0,26679,2942,11018,1725,181431,2842,7310,41056,37550,145881,51370,43035,"30,735","16,450","14,285","5,112","25,623","24,884","4,185","27,419",90,100,277,"31,158","23,849","12,928","10,921"
118,"Brenham, TX",0,0,3896,474,1191,117,23187,1461,1841,7554,3767,16570,5392,35164,"268,945","137,586","131,359","54,803","214,142","204,939","48,063","214,819","7,060","2,711","13,125","113,730","207,373","107,129","100,244"
119,"Brevard, NC",0,0,2775,496,765,149,25365,859,2041,6837,4754,21449,7628,27312,"35,275","17,130","18,145","7,613","27,662","25,279","7,570","26,961","6,072",64,582,"16,342","26,248","12,548","13,700"
120,"Bridgeport-Stamford-Norwalk, CT",0,0,85651,10434,23505,17072,641790,34004,30886,139001,169677,451455,255427,52380,"34,039","16,273","17,766","5,332","28,707","27,579","10,270","31,138","1,454",130,56,"19,752","28,159","13,243","14,916"
121,"Brookhaven, MS",0,0,2941,733,665,237,23115,984,2115,8638,2281,14298,2891,33137,"944,306","459,827","484,479","212,144","732,162","695,559","150,147","668,623","107,367","2,042","50,842","374,329","637,521","302,160","335,361"
122,"Brookings, OR",0,0,1048,268,543,15,18151,608,1379,4846,2629,14936,3993,30090,"34,197","16,089","18,108","7,999","26,198","24,737","5,813","23,313","10,652",0,180,"15,662","26,011","12,068","13,943"
123,"Brookings, SD",0,0,9150,165,1454,1262,18145,262,571,5184,4584,16339,6540,41176,"22,889","11,285","11,604","3,220","19,669","19,249","7,862","20,506",35,475,120,"13,011","19,342","9,571","9,771"
124,"Brownsville, TN",0,0,1378,258,825,35,12312,647,1561,5555,900,5199,1158,29746,"35,115","17,953","17,162","7,271","27,844","23,511","4,220","32,210",428,448,"1,107","14,756","26,377","13,376","13,001"
125,"Brownsville-Harlingen, TX",0,0,45151,8938,17450,1486,245532,48015,32550,63733,29858,155461,39721,25296,"17,391","8,205","9,186","3,916","13,475","12,911","3,223","7,899","8,836",6,11,"8,419","13,124","6,012","7,112"
126,"Brownwood, TX",0,0,3489,493,1227,248,25722,1533,2031,9180,3618,20675,4726,32261,"422,135","205,824","216,311","128,418","293,717","272,385","57,036","358,405","2,295",732,"2,887","152,544","236,106","114,498","121,608"
127,"Brunswick, GA",0,0,9299,1990,3619,705,81517,2725,8294,25648,11869,53828,17352,31917,"37,805","18,820","18,985","8,227","29,578","28,027","7,499","33,252","1,361",135,242,"19,112","28,665","14,121","14,544"
128,"Bucyrus, OH",0,0,3256,550,1352,155,29546,666,2206,13518,2820,26069,4174,32155,"118,149","56,604","61,545","25,401","92,748","89,052","24,117","84,155","27,217",259,"1,697","61,297","90,354","42,223","48,131"
129,"Buffalo-Cheektowaga-Niagara Falls, NY",0,0,105861,10662,29318,15871,794320,21657,47026,230109,141313,620141,222712,40827,"1,129,018","547,127","581,891","228,655","900,363","856,681","205,353","890,150","134,898","6,404","36,819","530,247","872,936","417,369","455,567"
130,"Burley, ID",0,0,3976,792,1729,74,26707,2643,2560,7948,3152,20487,4135,31016,"1,129,018","547,127","581,891","228,655","900,363","856,681","205,353","890,150","134,898","6,404","36,819","530,247","872,936","417,369","455,567"
131,"Burlington, IA-IL",0,0,3568,620,1203,253,32634,739,2090,11264,4489,28224,6202,33468,"44,664","22,605","22,059","13,539","31,125","29,422","6,606","39,820",79,415,250,"17,171","27,747","13,709","14,038"
132,"Burlington, NC",0,0,16342,2551,3824,1067,108031,6101,9528,29784,18098,70034,21282,34264,"45,964","22,336","23,628","10,121","35,843","34,411","9,842","41,730","2,386",44,408,"22,485","35,371","17,072","18,299"
133,"Burlington-South Burlington, VT",0,0,30632,2141,7501,5301,145567,3614,6119,34844,38194,128110,60269,43531,"166,144","78,854","87,290","36,877","129,267","119,944","27,867","114,429","32,917",688,"2,679","71,718","120,666","55,349","65,317"
134,"Butte-Silver Bow, MT",0,0,4359,384,1842,140,23427,544,1367,7910,4168,20643,6002,31961,"219,764","108,475","111,289","41,220","178,544","164,250","34,083","199,251","4,577",692,"6,574","98,488","172,506","83,822","88,684"
135,"Cadillac, MI",0,0,3600,799,1488,196,33294,942,2630,12788,3826,28865,5193,29641,"34,895","17,825","17,070","7,107","27,788","26,042","6,593","32,623",96,797,262,"17,318","27,469","13,715","13,754"
136,"Calhoun, GA",0,0,4791,903,1846,174,37781,3227,5203,13301,3346,27111,4977,31231,"48,508","24,320","24,188","11,218","37,290","35,938","9,475","46,141",356,161,189,"26,327","37,051","18,490","18,561"
137,"California-Lexington Park, MD",0,0,10476,857,3655,1125,73604,2498,4981,22068,13429,54269,19960,57265,"57,756","28,320","29,436","14,052","43,704","41,555","8,688","48,960","2,348",715,694,"22,730","40,410","19,355","21,055"
138,"Cambridge, MD",0,0,2156,311,834,155,23253,818,2221,9168,3009,14552,3864,34072,"113,182","56,550","56,632","27,411","85,771","80,940","14,531","86,781","16,348",67,"2,936","45,867","83,228","41,447","41,781"
139,"Cambridge, OH",0,0,3111,396,1429,163,27388,836,3029,12071,2407,22786,3762,33147,"31,994","14,950","17,044","6,734","25,260","24,259","6,830","20,777","8,216",12,377,"16,754","24,552","11,304","13,248"
140,"Camden, AR",0,0,2354,372,756,132,20466,735,2326,8594,1990,11431,2221,30279,"38,996","19,418","19,578","8,586","30,410","29,020","7,582","37,001",673,83,160,"19,341","30,267","14,902","15,365"
141,"Campbellsville, KY",0,0,3165,463,1095,192,16528,901,1453,6530,1725,13415,2989,27445,"28,757","13,734","15,023","6,265","22,492","21,539","5,902","17,133","11,204",0,10,"16,053","22,346","10,508","11,838"
142,"Cañon City, CO",0,0,2871,653,1465,57,36374,766,2773,14477,4161,29870,6449,31818,"36,572","17,838","18,734","8,052","28,520","26,712","6,665","33,856","1,340",100,268,"16,306","28,167","13,548","14,619"
143,"Canton, IL",0,0,2746,514,803,202,25588,900,2156,8844,3066,21519,4380,31892,"47,725","27,808","19,917","7,546","40,179","39,370","10,265","42,878","2,286",567,361,"20,035","39,487","23,301","16,186"
144,"Canton-Massillon, OH",0,0,34864,4564,12132,2839,279261,6767,18029,107448,39037,232766,57717,35512,"47,725","27,808","19,917","7,546","40,179","39,370","10,265","42,878","2,286",567,361,"20,035","39,487","23,301","16,186"
145,"Cape Coral-Fort Myers, FL",0,0,50854,10445,16941,3848,537841,27692,36833,165834,93362,424175,137306,32119,"398,711","194,222","204,489","85,421","313,290","298,632","78,006","349,917","27,786",479,"3,309","180,622","310,395","148,918","161,477"
146,"Cape Girardeau, MO-IL",0,0,12579,903,2841,1012,63519,2440,4886,21894,10559,51139,15352,33816,"756,570","370,506","386,064","133,226","623,344","599,967","215,942","614,872","62,612","1,270","12,529","401,252","566,234","272,497","293,737"
147,"Carbondale-Marion, IL",0,0,17611,1269,4253,1639,82845,2537,4406,22920,12302,66942,20507,32192,"97,026","47,091","49,935","20,783","76,243","70,625","16,871","84,415","7,919",171,"1,394","44,240","74,788","35,869","38,919"
148,"Carlsbad-Artesia, NM",0,0,5222,1077,2277,238,37018,2127,3613,13656,3687,28875,5359,41342,"136,837","68,554","68,283","27,473","109,364","102,217","24,210","115,108","12,554",313,"2,817","66,007","106,616","52,939","53,677"
149,"Carroll, IA",0,0,1583,203,525,185,13798,491,401,5013,2292,12797,3025,40750,"57,865","29,209","28,656","15,297","42,568","40,555","8,355","48,478",890,996,418,"24,870","40,322","20,164","20,158"
150,"Carson City, NV",0,0,4328,782,1557,150,38892,1612,3327,10705,5513,29421,7686,35384,"20,150","10,035","10,115","4,721","15,429","14,851","4,100","19,056",103,84,134,"9,519","15,225","7,435","7,790"
151,"Casper, WY",1,0,6748,754,2916,251,54457,756,3355,15791,7920,48097,11970,40987,"55,244","28,446","26,798","11,280","43,964","42,520","11,221","43,743","1,066","1,327","1,559","24,132","40,354","20,808","19,546"
152,"Cedar City, UT",0,0,7533,892,1720,304,27707,525,1472,6981,5312,24275,7673,31839,"80,067","39,999","40,068","19,258","60,809","57,996","12,101","75,028",874,812,447,"37,160","59,995","29,863","30,132"
153,"Cedar Rapids, IA",0,0,24092,2505,6966,2930,181221,3214,7026,52533,39526,159834,52306,41580,"53,148","26,410","26,738","15,191","37,957","34,381","6,812","48,229",337,996,502,"21,742","36,926","18,346","18,580"
154,"Cedartown, GA",0,0,3410,676,1350,42,27418,2161,3576,10864,1924,17916,2776,32130,"271,734","134,477","137,257","62,849","208,885","198,948","44,762","241,477","13,142",506,"5,397","118,199","203,545","99,678","103,867"
155,"Celina, OH",0,0,3350,461,1367,290,26974,470,1779,12548,2831,24243,4409,37162,"42,251","20,675","21,576","10,776","31,475","29,863","6,513","33,589","4,794",144,241,"17,071","29,528","14,197","15,331"
156,"Central City, KY",0,0,2949,788,1398,28,21763,1672,2554,9412,1441,16550,2216,29810,"41,034","20,699","20,335","10,552","30,482","29,009","7,254","39,638",279,0,272,"18,136","30,049","15,016","15,033"
157,"Centralia, IL",0,0,2971,481,1133,125,26377,1124,1832,9281,2579,22037,3623,31754,"30,815","15,404","15,411","6,309","24,506","23,172","5,953","28,529","1,188",51,452,"13,825","24,219","12,076","12,143"
158,"Centralia, WA",0,0,5885,1124,2320,209,54410,2267,4364,16047,5664,44591,8528,34057,"37,524","18,334","19,190","8,646","28,878","27,899","7,413","34,429","1,283",56,213,"18,272","28,725","13,928","14,797"
159,"Chambersburg-Waynesboro, PA",0,0,11933,2069,5289,1002,107004,3954,9497,45685,13425,89009,21317,37968,"79,430","39,763","39,667","17,124","62,306","59,930","16,704","69,779",456,482,915,"35,426","60,016","29,669","30,347"
160,"Champaign-Urbana, IL",0,0,50786,2166,8316,7477,142167,2179,5423,33619,29956,109453,46285,39573,"154,954","76,099","78,855","34,597","120,357","114,989","30,172","141,938","6,317",306,"1,153","65,808","117,578","57,009","60,569"
161,"Charleston, WV",0,0,16376,3062,6189,1149,156396,6302,14389,61770,20490,123986,31666,34394,"226,418","112,957","113,461","43,303","183,115","159,944","30,058","164,480","28,417",276,"22,962","101,114","166,786","81,793","84,993"
162,"Charleston-Mattoon, IL",0,0,10138,736,1899,983,40625,1358,2571,12969,5709,35367,9108,32369,"260,920","127,050","133,870","53,694","207,226","199,457","53,052","237,225","12,915",498,"2,357","131,549","205,829","98,991","106,838"
163,"Charleston-North Charleston, SC",0,0,69600,8752,20765,8402,521770,14531,34878,133361,117445,343118,152289,40235,"61,852","30,201","31,651","11,603","50,249","46,004","10,855","57,661","2,026",75,620,"28,360","49,666","23,891","25,775"
164,"Charlotte, NC",1,0,213042,30541,64429,25583,1661555,71902,114845,394750,386307,1061218,435420,40110,"790,955","386,101","404,854","172,547","618,408","587,853","120,008","529,380","199,187","2,008","14,857","339,240","597,159","286,925","310,234"
165,"Charlottesville, VA",0,0,27517,1759,8868,3437,158391,6876,9982,35318,35775,116234,61390,41762,"2,595,027","1,258,821","1,336,206","614,671","1,980,356","1,886,098","354,040","1,698,050","594,146","9,579","101,794","1,062,398","1,834,970","870,007","964,963"
166,"Chattanooga, TN-GA",0,0,48124,5466,13637,3937,386117,16056,33441,117127,65333,284943,88723,35936,"217,455","103,871","113,584","41,883","175,572","161,808","38,568","171,142","26,092",544,"10,118","96,622","166,477","77,561","88,916"
167,"Cheyenne, WY",0,0,9146,1478,3658,728,65774,1111,3391,16968,12155,56054,17768,41158,"561,055","272,309","288,746","118,257","442,798","421,260","100,507","452,970","74,016",899,"9,534","248,977","431,427","205,158","226,269"
168,"Chicago, IL",1,0,881995,109863,261023,132600,6436872,368280,384797,1549319,1459939,4016055,1804360,43721,"99,272","50,481","48,791","22,824","76,448","72,675","15,876","87,433","1,782",798,"1,129","43,841","74,963","38,188","36,775"
169,"Chico, CA",0,0,33527,2619,9272,3167,147890,5732,10091,33611,25926,115443,35067,33638,"9,478,801","4,640,471","4,838,330","2,160,390","7,318,411","6,962,416","1,383,267","6,031,584","1,558,492","28,695","641,801","3,856,019","6,580,515","3,159,580","3,420,935"
170,"Chillicothe, OH",0,0,6142,1454,2677,203,54281,1910,5306,22986,5653,43231,8410,35381,"223,344","110,391","112,953","44,865","178,479","165,357","40,663","178,568","3,866","2,628","10,743","93,968","170,879","83,626","87,253"
171,"Cincinnati, OH-KY-IN",0,0,202699,23295,71479,23848,1450712,38887,94700,432836,298176,1119413,416120,41585,"76,816","40,064","36,752","16,331","60,485","58,247","12,773","69,305","4,348",30,390,"32,060","60,095","31,508","28,587"
172,"Claremont-Lebanon, NH-VT",0,0,20889,2084,7413,2131,157468,3400,8536,48838,30182,139674,51975,38228,"2,214,265","1,085,972","1,128,293","519,071","1,695,194","1,604,314","337,959","1,792,007","264,870","2,313","59,314","946,325","1,644,305","794,244","850,061"
173,"Clarksburg, WV",0,0,7094,1032,2991,634,67063,2445,5698,27054,9105,57113,13426,34668,"2,214,265","1,085,972","1,128,293","519,071","1,695,194","1,604,314","337,959","1,792,007","264,870","2,313","59,314","946,325","1,644,305","794,244","850,061"
174,"Clarksdale, MS",0,0,2632,559,698,123,14632,1154,1962,3582,1683,3307,910,25451,"92,936","46,021","46,915","19,166","73,770","70,863","18,307","88,666","1,284",26,518,"43,149","73,336","36,130","37,206"
175,"Clarksville, TN-KY",0,0,34828,2544,14809,2596,172372,5300,10844,51567,27283,117559,31829,35737,"22,685","10,504","12,181","6,112","16,573","15,381","3,436","4,711","17,465",75,109,"10,699","16,501","7,397","9,104"
176,"Clearlake, CA",0,0,4464,648,1723,85,46394,2620,4252,13951,4759,33729,6439,28386,"304,584","153,852","150,732","80,390","224,194","209,819","33,850","218,053","56,444","1,347","6,243","127,557","219,043","110,367","108,676"
177,"Cleveland, MS",0,0,3610,523,843,112,20837,1605,3199,5141,2978,6506,2982,27389,"64,276","32,099","32,177","13,528","50,748","48,951","14,685","48,712","1,583","2,540",940,"34,477","48,082","23,504","24,578"
178,"Cleveland, TN",0,0,11606,904,4242,710,83140,5179,8366,27670,10210,65173,15779,33487,"31,253","14,705","16,548","7,733","23,520","22,035","4,876","10,101","20,068",46,235,"14,377","23,160","10,522","12,638"
179,"Cleveland-Elyria, OH",0,0,179824,26992,57476,23168,1438478,39071,101542,419194,267889,1016703,374152,40084,"123,731","60,394","63,337","26,553","97,178","91,307","21,784","110,916","5,361",378,"1,259","53,225","93,830","45,193","48,637"
180,"Clewiston, FL",0,0,4049,1153,1786,16,25285,4905,3759,8806,1175,13528,1828,25517,"2,053,137","991,337","1,061,800","433,179","1,619,958","1,547,230","379,194","1,487,910","403,018","4,395","47,283","963,209","1,578,475","748,977","829,498"
181,"Clinton, IA",0,0,3726,515,1342,226,32718,910,2014,12170,4282,28772,5960,36472,"41,472","22,022","19,450","11,117","30,355","29,112","5,601","30,601","4,692",803,372,"14,932","24,224","12,284","11,940"
182,"Clovis, NM",0,0,6164,1189,2197,197,30624,2149,3071,8412,4007,19260,5338,31432,"46,734","22,854","23,880","10,537","36,197","34,707","9,180","43,623","1,338",118,311,"22,114","35,797","17,320","18,477"
183,"Coamo, PR",0,0,3371,214,1086,245,27552,4373,2366,9921,4495,13933,4010,17022,"49,502","25,626","23,876","13,079","36,423","34,145","6,139","32,179","2,684",421,682,"21,410","33,384","17,460","15,924"
184,"Coco, PR",0,0,2844,373,1156,274,19298,3111,2032,7354,2704,8084,2106,14932,"38,603","18,708","19,895","7,490","31,113","29,688","6,925","22,292","10,628",0,0,"16,170","30,910","14,835","16,075"
185,"Coeur d'Alene, ID",0,0,12219,2025,4821,591,105732,1378,6545,28700,17712,93547,25315,33038,"27,638","13,352","14,286","5,805","21,833","20,766","5,414","14,238","9,865",4,18,"13,229","21,718","10,257","11,461"
186,"Coffeyville, KS",0,0,2941,453,770,163,22209,810,1692,6455,2801,17582,3542,30375,"161,676","80,079","81,597","36,920","124,756","118,938","30,482","148,952",605,"2,065","1,342","72,799","123,298","60,424","62,874"
187,"Coldwater, MI",0,0,3252,905,1183,161,30146,1346,1943,12451,2947,25407,4099,31994,"32,114","16,031","16,083","7,593","24,521","23,342","6,191","26,753","1,692","1,088",192,"16,458","24,270","11,837","12,433"
188,"College Station-Bryan, TX",0,0,61630,2870,10120,7379,139084,9106,10293,31682,27856,93187,41467,36256,"43,428","22,308","21,120","10,113","33,315","31,993","7,982","40,302",908,186,226,"20,924","32,248","16,751","15,497"
189,"Colorado Springs, CO",1,0,78615,7785,24926,7432,460298,9611,18950,93861,105118,363932,153260,40246,"261,701","131,589","130,112","54,693","207,008","177,931","27,980","197,155","30,306",632,"13,785","110,036","187,341","92,691","94,650"
190,"Columbia, MO",0,0,35104,1465,5056,5351,105495,1826,4335,22382,27238,84645,42416,38115,"735,480","371,410","364,070","175,049","560,431","529,461","96,512","579,227","44,908","5,902","18,804","289,808","540,306","272,797","267,509"
191,"Columbia, SC",0,0,97409,10021,31144,9854,537058,18032,38532,145458,105677,309938,124185,36717,"207,248","101,311","105,937","42,538","164,710","148,417","27,081","169,038","17,536",815,"8,033","90,461","157,932","75,852","82,080"
192,"Columbus, GA-AL",0,0,32440,4092,11650,2189,200832,7828,18723,56453,30389,95824,31994,33190,"832,925","404,117","428,808","183,934","648,991","605,020","124,174","488,903","279,363","2,359","18,108","359,666","627,292","298,575","328,717"
193,"Columbus, IN",0,0,6753,1268,2356,1220,55456,1540,3480,18106,10687,44350,13862,38342,"319,643","158,509","161,134","75,656","243,987","230,136","45,121","154,149","134,394",780,"6,338","140,611","237,152","115,743","121,409"
194,"Columbus, MS",0,0,5949,914,1589,436,39312,1947,3638,12366,5757,20244,6804,35392,"83,280","41,742","41,538","19,937","63,343","60,730","13,396","69,641","1,538",104,"6,579","34,480","57,040","27,853","29,187"
195,"Columbus, NE",0,0,2761,440,785,351,21718,1252,1211,6665,3390,18658,4637,36973,"58,896","27,967","30,929","13,970","44,926","42,563","9,402","30,811","25,715",127,582,"27,411","44,351","20,527","23,824"
196,"Columbus, OH",1,0,192406,23928,57252,24250,1373112,34255,85450,382276,316174,1004437,409177,41453,"33,250","17,043","16,207","8,701","24,549","23,393","5,851","30,145",193,67,277,"13,894","22,734","11,475","11,259"
197,"Concord, NH",0,0,14251,1318,4476,1541,105915,2197,4501,29457,21769,95412,35985,44067,"2,101,543","1,034,609","1,066,934","494,563","1,606,980","1,522,356","278,861","1,559,426","329,697","3,705","93,439","869,406","1,529,241","742,334","786,907"
198,"Connersville, IN",0,0,1835,401,667,94,16262,868,1969,6985,1269,13019,1834,35711,"150,902","74,190","76,712","28,876","122,026","115,605","27,616","140,887","2,274",521,"3,122","65,284","119,240","58,442","60,798"
199,"Cookeville, TN",0,0,13995,819,4757,870,73000,6076,5776,29110,9409,58810,14423,31320,"23,068","11,290","11,778","5,079","17,989","17,313","4,610","21,900",601,44,10,"10,818","17,873","8,695","9,178"
